gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9998645198601942,1.6482051320791964e-4,-,3.3e-4,0.001158159,0.0887,0.0887,0.0147,0.811
CTNND1,7.753e-8,catenin delta 1,--,--+-,--,0.9756475421087125,8.31328588600853e-4,-,0.00166,0.001687079,0.447,0.447,0.0147,0.811
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,+-,----,++,0.8420080460341641,0.001854139524526084,-,0.00371,0.00653533,0.998,0.998,0.0147,0.811
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,++++,Filtered_Out,0.0028661640546430445,0.9699661412627207,+,0.00573,0.00799503,1.54,1,0.0147,0.811
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,+++-,++,0.004922292487808925,0.8819248174591537,+,0.00984,0.011802341,2.65,1,0.0147,0.811
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.9870592354475811,0.004955881010671887,-,0.00991,0.020928616,2.67,1,0.0147,0.811
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.999297758966531,0.006504525315158159,-,0.013,0.04883371533595394,3.5,1,0.0147,0.811
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,++,-+++,+-,0.0068987224619429,0.6929864449782985,+,0.0138,0.001004996,3.71,1,0.0147,0.811
MYRF,1.6847e-8,myelin regulatory factor,--,-+--,-+,0.47039306201237474,0.008838025002939039,-,0.0177,0.006945037,4.75,1,0.0147,0.811
YLPM1,3.52e-10,YLP motif containing 1,--,--+-,NA,0.8928346085468386,0.011903507318852712,-,0.0238,0.001039362,6.4,1,0.0147,0.811
OLFM4,1.6990999999999999e-12,olfactomedin 4,++,++++,Filtered_Out,0.012038376913193179,0.9988788548275229,+,0.0241,0.04493066573233237,6.48,1,0.0147,0.811
ZNF536,1.6243e-6,zinc finger protein 536,--,-+--,-+,0.7102534728076415,0.012097713658566687,-,0.0242,0.012601684717793113,6.51,1,0.0147,0.811
SOX5,3.7918e-9,SRY-box transcription factor 5,+-,----,Filtered_Out,0.9830354899710766,0.014251075228332846,-,0.0285,0.077126588,7.67,1,0.0147,0.811
CDH13,1.5938e-11,cadherin 13,-+,--+-,+-,0.858646249282058,0.015231105309580963,-,0.0305,0.00394136,8.19,1,0.0147,0.811
CKB,1.7557e-8,creatine kinase B,++,++++,--,0.016032369832724425,0.5059933118148205,+,0.0321,0.004117161,8.63,1,0.0147,0.811
MED19,1.7536e-7,mediator complex subunit 19,++,++++,-+,0.016237387416285744,0.9444964373578767,+,0.0325,0.010293157,8.74,1,0.0147,0.811
OR2B2,2.7942e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,0.03360960610736883,9.04,1,0.0147,0.811
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,++,+-++,NA,0.01742134334070599,0.9681177765436173,+,0.0348,0.07013719,9.37,1,0.0147,0.811
ZNF638,1.8282e-7,zinc finger protein 638,--,+++-,NA,0.7808585185383095,0.01801116470443837,-,0.036,0.011210283,9.69,1,0.0147,0.811
C3orf84,2.5336e-7,chromosome 3 open reading frame 84,++,NA,NA,0.018326179304374246,0.9816738206956257,+,0.0367,0.03665235860874849,9.86,1,0.0147,0.811
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",++,++++,++,0.020087887051684156,0.9968323210681426,+,0.0402,0.141990918,10.8,1,0.0147,0.811
BAG5,9.1836e-7,BAG cochaperone 5,-+,-+--,--,0.9261141605600125,0.02207149674413953,-,0.0441,0.018796161,11.9,1,0.0147,0.811
PCDH9,3.5314e-10,protocadherin 9,--,-+--,-+,0.5944313216181848,0.02342873095790313,-,0.0469,0.050420538,12.6,1,0.0147,0.811
