gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,++,--++,++,8.215510492230278e-5,0.926697045639389,+,1.64e-4,0.002809492,0.0442,0.0442,-0.0562,0.359
CKB,1.7557e-8,creatine kinase B,++,--++,++,8.804989116340912e-5,0.9823789080379863,+,1.76e-4,1.82118e-5,0.0474,0.0474,-0.0562,0.359
MGAT4C,1.2237e-6,MGAT4 family member C,-+,----,--,0.9613704392622544,2.3792346930561148e-4,-,4.76e-4,0.002131326,0.128,0.128,-0.0562,0.359
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,++,++++,+-,2.6972017271219214e-4,0.9280194336727076,+,5.39e-4,0.001734011,0.145,0.145,-0.0562,0.359
ZNF638,1.8282e-7,zinc finger protein 638,--,+---,NA,0.9956187158796943,6.360873801094037e-4,-,0.00127,0.001959458,0.342,0.342,-0.0562,0.359
USP3,2.4852e-6,ubiquitin specific peptidase 3,--,+---,--,0.9801794491892062,7.747363097543119e-4,-,0.00155,0.012310163,0.417,0.417,-0.0562,0.359
HARS,2.1021e-7,NA,++,+-++,++,9.026333701382002e-4,0.9980196213967909,+,0.00181,0.0069317185113633535,0.486,0.486,-0.0562,0.359
C16orf45,1.8617e-9,NA,++,-+++,--,9.993281031611242e-4,0.376560809966918,+,0.002,9.58753e-4,0.538,0.538,-0.0562,0.359
TMEM106B,1.2176e-12,transmembrane protein 106B,--,++--,--,0.7227257939566012,0.0010258022409593294,-,0.00205,2.16239e-4,0.552,0.552,-0.0562,0.359
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9995799496696953,0.001415097710382222,-,0.00283,0.00918046,0.761,0.761,-0.0562,0.359
MANEA,1.8836e-6,mannosidase endo-alpha,--,++--,--,0.05681679005588803,0.001705146144117277,-,0.00341,7.71466e-4,0.917,0.917,-0.0562,0.359
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,++,--++,NA,0.0018281155353459518,0.9239996642326205,+,0.00366,0.00242952,0.984,0.984,-0.0562,0.359
BAZ2B,1.3215e-7,bromodomain adjacent to zinc finger domain 2B,--,+---,--,0.9989143039806037,0.002457012637503835,-,0.00491,0.013601592,1.32,1,-0.0562,0.359
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,++,--++,-+,0.0026173305791670374,0.8677968649544773,+,0.00523,4.9052e-5,1.41,1,-0.0562,0.359
PAX6,1.6677e-9,paired box 6,++,+---,--,0.6823017746263665,0.0027684660061308326,-,0.00554,0.002175936,1.49,1,-0.0562,0.359
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,-++-,+-,0.0031107225904373746,0.8467598736200563,+,0.00622,0.001631929,1.67,1,-0.0562,0.359
