gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CKB,1.7557e-8,creatine kinase B,++,--++,--,3.4162899863321146e-4,0.4179471791186839,+,6.83e-4,1.82118e-5,0.184,0.184,-0.0729,0.234
CTNND1,7.753e-8,catenin delta 1,--,--+-,--,0.981109251158824,4.824798465718526e-4,-,9.65e-4,0.001687079,0.26,0.26,-0.0729,0.234
ZNF638,1.8282e-7,zinc finger protein 638,--,+---,NA,0.9956187158796943,6.360873801094037e-4,-,0.00127,0.001959458,0.342,0.342,-0.0729,0.234
C16orf45,1.8617e-9,NA,++,-+++,-+,7.890739917987897e-4,0.9573629103976617,+,0.00158,9.58753e-4,0.425,0.425,-0.0729,0.234
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9998336015963533,0.0012023980024308488,-,0.0024,0.00918046,0.647,0.647,-0.0729,0.234
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,++,--++,NA,0.0018281155353459518,0.9239996642326205,+,0.00366,0.00242952,0.984,0.984,-0.0729,0.234
MGAT4C,1.2237e-6,MGAT4 family member C,-+,----,--,0.9279417340686544,0.0018882245439974443,-,0.00378,0.002131326,1.02,1,-0.0729,0.234
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,++,--++,++,0.002288589137451666,0.9175027414404858,+,0.00458,0.002809492,1.23,1,-0.0729,0.234
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,++,++++,--,0.002396233838996392,0.7633499772017441,+,0.00479,0.001734011,1.29,1,-0.0729,0.234
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,++,--++,+-,0.0026903062387183675,0.6667089060087302,+,0.00538,4.9052e-5,1.45,1,-0.0729,0.234
TMEM106B,1.2176e-12,transmembrane protein 106B,--,++--,-+,0.3210824243597435,0.002842408743105981,-,0.00568,2.16239e-4,1.53,1,-0.0729,0.234
KDM3A,1.7641e-9,lysine demethylase 3A,-+,+---,NA,0.7839592029375626,0.0031112064034622172,-,0.00622,0.005746965,1.67,1,-0.0729,0.234
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,--++,Filtered_Out,0.003249648106187412,0.9321969631448801,+,0.0065,0.001833984,1.75,1,-0.0729,0.234
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",++,++++,++,0.0047494983341236,0.996874200630013,+,0.0095,0.014556544,2.56,1,-0.0729,0.234
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,++-+,++,0.005198668332063825,0.8862061253252345,+,0.0104,0.011802341,2.8,1,-0.0729,0.234
RANGAP1,3.067e-8,Ran GTPase activating protein 1,++,++++,+-,0.008495678650859654,0.9812975010635367,+,0.017,0.026652004,4.57,1,-0.0729,0.234
ACVR1B,5.281e-7,activin A receptor type 1B,++,-+++,++,0.011709499468632608,0.9982446814112529,+,0.0234,0.016928378850805628,6.3,1,-0.0729,0.234
SOX6,4.167e-7,SRY-box transcription factor 6,--,+---,Filtered_Out,0.9893655056366599,0.011777101615768209,-,0.0236,0.068401631,6.34,1,-0.0729,0.234
