gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9997632440583742,5.4990079252662444e-5,-,1.1e-4,0.001158159,0.0296,0.0296,-0.0273,0.656
CTNND1,7.753e-8,catenin delta 1,--,----,--,0.9885793285833587,3.6820580901007527e-4,-,7.36e-4,0.001687079,0.198,0.198,-0.0273,0.656
ZNF638,1.8282e-7,zinc finger protein 638,--,+---,NA,0.9811985829644209,0.00230329320321477,-,0.00461,0.011210283,1.24,1,-0.0273,0.656
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,++-+,++,0.0023928829235244204,0.8869074261464978,+,0.00479,0.011802341,1.29,1,-0.0273,0.656
YLPM1,3.52e-10,YLP motif containing 1,--,---+,NA,0.9891809587087516,0.002393933075299093,-,0.00479,0.001039362,1.29,1,-0.0273,0.656
SOX5,3.7918e-9,SRY-box transcription factor 5,+-,----,Filtered_Out,0.9832833137072738,0.0026607206818958823,-,0.00532,0.040092956,1.43,1,-0.0273,0.656
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.002995630395479547,0.9449998132424133,+,0.00599,0.001833984,1.61,1,-0.0273,0.656
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,+-,----,++,0.8419898002150904,0.003179361522554176,-,0.00636,0.00653533,1.71,1,-0.0273,0.656
POGZ,3.1579e-7,pogo transposable element derived with ZNF domain,--,----,-+,0.9817106441787589,0.004072695461233406,-,0.00815,0.032245022,2.19,1,-0.0273,0.656
C16orf45,1.8617e-9,NA,++,-+++,-+,0.00457485150972252,0.948552589133036,+,0.00915,0.010117937,2.46,1,-0.0273,0.656
MANEA,1.8836e-6,mannosidase endo-alpha,--,++--,-+,0.0047392442228427764,0.10221280052682866,+,0.00948,7.71466e-4,2.55,1,-0.0273,0.656
