gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.753e-8,catenin delta 1,--,--+-,--,0.9848714089067296,3.044005831432327e-4,-,6.09e-4,0.001687079,0.164,0.164,-0.0467,0.445
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,6.442441338073816e-4,0.9591467955917288,+,0.00129,0.001833984,0.347,0.347,-0.0467,0.445
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9998506207341455,6.667789246859532e-4,-,0.00133,0.00918046,0.359,0.359,-0.0467,0.445
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,+-,----,++,0.841961924920317,0.00411764044406541,-,0.00824,0.007577574,2.22,1,-0.0467,0.445
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,++++,++,0.005085616452825756,0.8890806676469253,+,0.0102,0.011802341,2.74,1,-0.0467,0.445
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,---+,Filtered_Out,0.9938081242590002,0.0058871974506464735,-,0.0118,0.020928616,3.17,1,-0.0467,0.445
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.9984695165504481,0.008075922153903965,-,0.0162,0.04883371533595394,4.34,1,-0.0467,0.445
SOX5,3.7918e-9,SRY-box transcription factor 5,+-,----,Filtered_Out,0.9830677099524349,0.009506628246704691,-,0.019,0.040092956,5.11,1,-0.0467,0.445
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,++,+-++,NA,0.012225062155440232,0.9928641771766537,+,0.0245,0.046225293,6.58,1,-0.0467,0.445
ACVR1B,5.281e-7,activin A receptor type 1B,++,-+-+,++,0.014198465004946696,0.9959639441398439,+,0.0284,0.016928378850805628,7.64,1,-0.0467,0.445
ZNF536,1.6243e-6,zinc finger protein 536,--,-+-+,-+,0.6432233179330115,0.01556185327346768,-,0.0311,0.012601684717793113,8.37,1,-0.0467,0.445
OR2B2,2.7942e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,0.03360960610736883,9.04,1,-0.0467,0.445
C3orf84,2.5336e-7,chromosome 3 open reading frame 84,++,NA,NA,0.018326179304374246,0.9816738206956257,+,0.0367,0.03665235860874849,9.86,1,-0.0467,0.445
TRAF3,3.1737e-7,TNF receptor associated factor 3,++,----,+-,0.7977946751644748,0.018978037356787943,-,0.038,0.011555865,10.2,1,-0.0467,0.445
PLA2R1,3.9805e-7,phospholipase A2 receptor 1,--,--+-,Filtered_Out,0.9117327307462826,0.019492221495072928,-,0.039,0.001639741,10.5,1,-0.0467,0.445
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,-++-,--,0.15458424062073947,0.021055770116189393,-,0.0421,4.72472e-4,11.3,1,-0.0467,0.445
HARS,2.1021e-7,NA,++,+-++,+-,0.022014631269201685,0.6787188549881089,+,0.044,0.0069317185113633535,11.8,1,-0.0467,0.445
CCS,2.3011e-6,copper chaperone for superoxide dismutase,+-,--++,++,0.02223744487528238,0.8689868523804927,+,0.0445,0.014563279,12,1,-0.0467,0.445
MYRF,1.6847e-8,myelin regulatory factor,--,-+-+,-+,0.12339721865641753,0.023464332791159295,-,0.0469,0.006945037,12.6,1,-0.0467,0.445
FAM120A,3.6663e-8,family with sequence similarity 120A,--,--+-,+-,0.6846203399002859,0.023599799376495638,-,0.0472,0.037996298,12.7,1,-0.0467,0.445
PRSS16,6.4148e-9,serine protease 16,++,Missing_P_Values,Filtered_Out,0.024250990784289425,0.9757490092157105,+,0.0485,0.04850198156857885,13,1,-0.0467,0.445
STAU1,1.335e-6,staufen double-stranded RNA binding protein 1,++,++++,+-,0.025920084609608166,0.7866965781519809,+,0.0518,0.004673783,13.9,1,-0.0467,0.445
BEND4,1.2982e-7,BEN domain containing 4,-+,-+--,NA,0.601651535929258,0.026590325612975266,-,0.0532,0.003839183,14.3,1,-0.0467,0.445
PCDH9,3.5314e-10,protocadherin 9,--,-+--,-+,0.6566108481557096,0.027379625297647838,-,0.0548,0.05541714,14.7,1,-0.0467,0.445
ZNF638,1.8282e-7,zinc finger protein 638,--,+-+-,NA,0.9565581043968683,0.02977288421136394,-,0.0595,0.038453569404910896,16,1,-0.0467,0.445
