gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9996372450723511,1.9500693293770583e-4,-,3.9e-4,0.001158159,0.105,0.105,-0.0255,0.677
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,+-,----,+-,0.9634117616524553,0.0012045928142910376,-,0.00241,0.00653533,0.648,0.648,-0.0255,0.677
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,-+++,+-,0.0023122569333217297,0.8714571497111946,+,0.00462,0.001631929,1.24,1,-0.0255,0.677
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,++++,Filtered_Out,0.0028661640546430445,0.9699661412627207,+,0.00573,0.00799503,1.54,1,-0.0255,0.677
HARS,2.1021e-7,NA,++,+-++,++,0.0033160863051967483,0.9952169869497736,+,0.00663,0.0069317185113633535,1.78,1,-0.0255,0.677
MYRF,1.6847e-8,myelin regulatory factor,--,-+--,--,0.9956495762188842,0.003850360872613343,-,0.0077,0.025741386,2.07,1,-0.0255,0.677
CKB,1.7557e-8,creatine kinase B,++,++++,++,0.004594249385570127,0.9993200891503641,+,0.00919,0.004117161,2.47,1,-0.0255,0.677
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.9870592354475811,0.004955881010671887,-,0.00991,0.020928616,2.67,1,-0.0255,0.677
BAZ2B,1.3215e-7,bromodomain adjacent to zinc finger domain 2B,--,+-+-,--,0.9817378125957963,0.00545956170209799,-,0.0109,0.013601592,2.94,1,-0.0255,0.677
CELF2,7.5152e-8,CUGBP Elav-like family member 2,++,----,--,0.9463394445622237,0.006002046795829797,-,0.012,0.016642978,3.23,1,-0.0255,0.677
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.999297758966531,0.006504525315158159,-,0.013,0.04883371533595394,3.5,1,-0.0255,0.677
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,++,-+++,-+,0.006716247271054048,0.888909540300768,+,0.0134,0.001004996,3.61,1,-0.0255,0.677
NRD1,2.6643e-8,NA,NA,NA,NA,0.9922888122866595,0.007037866414905284,-,0.0141,0.015242509,3.79,1,-0.0255,0.677
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,++,--++,++,0.007570488020729066,0.9385169355881124,+,0.0151,0.026963109,4.07,1,-0.0255,0.677
METTL9,1.7424e-10,methyltransferase like 9,++,+++-,++,0.009218240563025818,0.9982403879308043,+,0.0184,0.023636704,4.96,1,-0.0255,0.677
CDH13,1.5938e-11,cadherin 13,-+,--+-,+-,0.5569702946256534,0.011173295813582366,-,0.0223,0.00394136,6.01,1,-0.0255,0.677
MANEA,1.8836e-6,mannosidase endo-alpha,--,++--,--,0.21911649739404943,0.011370391656821426,-,0.0227,0.001451269,6.12,1,-0.0255,0.677
MED19,1.7536e-7,mediator complex subunit 19,++,++++,+-,0.011750927948744704,0.7298984732141773,+,0.0235,0.010293157,6.32,1,-0.0255,0.677
YLPM1,3.52e-10,YLP motif containing 1,--,--+-,NA,0.8928346085468386,0.011903507318852712,-,0.0238,0.001039362,6.4,1,-0.0255,0.677
OLFM4,1.6990999999999999e-12,olfactomedin 4,++,++++,Filtered_Out,0.012038376913193179,0.9988788548275229,+,0.0241,0.04493066573233237,6.48,1,-0.0255,0.677
CTTNBP2,1.261e-7,cortactin binding protein 2,--,+---,-+,0.7703721394365131,0.012163809973193758,-,0.0243,0.040096248,6.54,1,-0.0255,0.677
POGZ,3.1579e-7,pogo transposable element derived with ZNF domain,--,--+-,-+,0.9790882112555576,0.01295825008221378,-,0.0259,0.023772846,6.97,1,-0.0255,0.677
SOX5,3.7918e-9,SRY-box transcription factor 5,+-,----,Filtered_Out,0.9830354899710766,0.014251075228332846,-,0.0285,0.077126588,7.67,1,-0.0255,0.677
SERPING1,2.4511e-6,serpin family G member 1,++,--++,++,0.014850786306543533,0.8683557133693675,+,0.0297,0.004084704530120423,7.99,1,-0.0255,0.677
C11orf31,5.1084e-7,NA,NA,NA,NA,0.8748826094517018,0.015121518220488106,-,0.0302,0.023441292,8.14,1,-0.0255,0.677
TOP1,1.6562e-6,DNA topoisomerase I,--,--+-,--,0.938050047208999,0.015537637566983667,-,0.0311,0.047453352,8.36,1,-0.0255,0.677
PTPRS,2.2969e-6,protein tyrosine phosphatase receptor type S,--,--++,--,0.9939135383831504,0.016102358271468484,-,0.0322,0.066284551,8.66,1,-0.0255,0.677
ZFHX4,5.2705e-9,zinc finger homeobox 4,--,----,-+,0.6918524737891671,0.01675022945554088,-,0.0335,0.025295412,9.01,1,-0.0255,0.677
OR2B2,2.7942e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,0.03360960610736883,9.04,1,-0.0255,0.677
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,++,+-++,NA,0.01742134334070599,0.9681177765436173,+,0.0348,0.07013719,9.37,1,-0.0255,0.677
ZNF638,1.8282e-7,zinc finger protein 638,--,+++-,NA,0.7808585185383095,0.01801116470443837,-,0.036,0.011210283,9.69,1,-0.0255,0.677
C3orf84,2.5336e-7,chromosome 3 open reading frame 84,++,NA,NA,0.018326179304374246,0.9816738206956257,+,0.0367,0.03665235860874849,9.86,1,-0.0255,0.677
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,++,++++,+-,0.019238943734222413,0.9100806688054839,+,0.0385,0.025889139,10.4,1,-0.0255,0.677
PAX6,1.6677e-9,paired box 6,++,+---,--,0.6166406594917011,0.02032021533957605,-,0.0406,0.002175936,10.9,1,-0.0255,0.677
CRB1,2.4995e-7,crumbs cell polarity complex component 1,+-,++--,+-,0.597853498450979,0.020639153483495504,-,0.0413,9.89607e-4,11.1,1,-0.0255,0.677
RTN1,1.7109e-8,reticulon 1,++,++-+,++,0.021110800064576038,0.9982335358211138,+,0.0422,0.063983887,11.4,1,-0.0255,0.677
PRSS16,6.4148e-9,serine protease 16,++,Missing_P_Values,Filtered_Out,0.024250990784289425,0.9757490092157105,+,0.0485,0.04850198156857885,13,1,-0.0255,0.677
DCDC1,7.4612e-9,doublecortin domain containing 1,+-,+++-,Filtered_Out,0.025124350710806966,0.9251004349646322,+,0.0502,0.026863188,13.5,1,-0.0255,0.677
DCDC5,2.4868e-9,NA,NA,NA,NA,0.025124350710806966,0.9251004349646322,+,0.0502,0.026863188,13.5,1,-0.0255,0.677
ZNF536,1.6243e-6,zinc finger protein 536,--,-+--,-+,0.595820871629524,0.02676019836982798,-,0.0535,0.012601684717793113,14.4,1,-0.0255,0.677
RFTN2,5.4058e-7,raftlin family member 2,--,++--,-+,0.5391622849835953,0.027629036119432553,-,0.0553,0.03639445856167979,14.9,1,-0.0255,0.677
HSPA1A,8.134e-8,heat shock protein family A (Hsp70) member 1A,--,----,-+,0.9851831164903614,0.030978819437881496,-,0.062,0.052021844,16.7,1,-0.0255,0.677
PPP6C,1.0969e-6,protein phosphatase 6 catalytic subunit,++,++--,--,0.8821482790987044,0.031398056948331955,-,0.0628,0.005052903,16.9,1,-0.0255,0.677
LST1,5.4242e-9,leukocyte specific transcript 1,--,+-++,-+,0.15036276590448835,0.0316804361724323,-,0.0634,0.003058614,17,1,-0.0255,0.677
VPS41,1.9375e-6,VPS41 subunit of HOPS complex,-+,++--,++,0.03410844551517622,0.612379516180577,+,0.0682,0.009832116,18.4,1,-0.0255,0.677
FADS1,1.2518e-7,fatty acid desaturase 1,+-,++--,--,0.9777029883050861,0.03548674894928866,-,0.071,0.071401741,19.1,1,-0.0255,0.677
PQLC2L,7.0543e-9,NA,++,----,Filtered_Out,0.6905826629332438,0.036195461464794035,-,0.0724,0.016788057,19.5,1,-0.0255,0.677
KLC1,2.4595e-10,kinesin light chain 1,++,++--,-+,0.03639192894382639,0.8974163527430694,+,0.0728,0.053982048,19.6,1,-0.0255,0.677
ACVR1B,5.281e-7,activin A receptor type 1B,++,----,+-,0.03688909335994569,0.5973679846397983,+,0.0738,0.016928378850805628,19.8,1,-0.0255,0.677
AREL1,3.0386e-8,apoptosis resistant E3 ubiquitin protein ligase 1,++,----,+-,0.607128166145038,0.03741355438686723,-,0.0748,0.072541244,20.1,1,-0.0255,0.677
ZHX3,2.344e-7,zinc fingers and homeoboxes 3,++,----,--,0.9576797240446047,0.03846385413454255,-,0.0769,0.11068477,20.7,1,-0.0255,0.677
ADCK3,1.4274e-8,NA,NA,NA,NA,0.04030359311054761,0.9596964068894525,+,0.0806,0.08060718622109522,21.7,1,-0.0255,0.677
EXT1,1.2011e-6,exostosin glycosyltransferase 1,-+,--++,+-,0.5103185942391187,0.042412277133362396,-,0.0848,0.010276231,22.8,1,-0.0255,0.677
PCDH9,3.5314e-10,protocadherin 9,--,-+--,++,0.0732667237687506,0.04610209102954461,-,0.0922,0.03246236,24.8,1,-0.0255,0.677
CHD6,1.3778e-10,chromodomain helicase DNA binding protein 6,--,++++,+-,0.047039138149517934,0.49985535968279887,+,0.0941,0.01774485,25.3,1,-0.0255,0.677
BEND4,1.2982e-7,BEN domain containing 4,-+,----,NA,0.6145099310757332,0.04972289351459047,-,0.0994,0.04380202,26.8,1,-0.0255,0.677
