gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CKB,1.7557e-8,creatine kinase B,++,+-++,--,2.9512265254230095e-5,0.4581446126597735,+,5.9e-5,1.82118e-5,0.0159,0.0159,-0.025,0.683
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,++,+-++,+-,3.178954666399402e-5,0.7128754895874242,+,6.36e-5,4.9052e-5,0.0171,0.0171,-0.025,0.683
ZNF638,1.8282e-7,zinc finger protein 638,--,++--,NA,0.9225876659480294,3.068112734328592e-4,-,6.14e-4,0.001959458,0.165,0.165,-0.025,0.683
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9998504042385885,3.113264720039109e-4,-,6.23e-4,0.001158159,0.167,0.167,-0.025,0.683
CTNND1,7.753e-8,catenin delta 1,--,---+,--,0.968294460370171,0.0011866126818213605,-,0.00237,0.001687079,0.638,0.638,-0.025,0.683
C16orf45,1.8617e-9,NA,++,--++,-+,0.0012232546453455361,0.94034445597527,+,0.00245,9.58753e-4,0.658,0.658,-0.025,0.683
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,++,--++,NA,0.0027616893153364986,0.8332595471880095,+,0.00552,0.00242952,1.49,1,-0.025,0.683
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",++,++++,++,0.0028041801633303964,0.996896161805858,+,0.00561,0.014556544,1.51,1,-0.025,0.683
BAD,1.3523e-6,BCL2 associated agonist of cell death,-+,++++,--,0.002811002217719622,0.2944224231803708,+,0.00562,0.001132037,1.51,1,-0.025,0.683
YLPM1,3.52e-10,YLP motif containing 1,--,----,NA,0.9933149943433166,0.0028681933825694898,-,0.00574,0.001039362,1.54,1,-0.025,0.683
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,++--,++,0.005032188278758529,0.8746746663344437,+,0.0101,0.011802341,2.71,1,-0.025,0.683
TMEM106B,1.2176e-12,transmembrane protein 106B,--,++--,-+,0.10956858548492968,0.005477665393975142,-,0.011,2.16239e-4,2.95,1,-0.025,0.683
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,+-,----,++,0.8400977327176304,0.0061191798060213805,-,0.0122,0.00653533,3.29,1,-0.025,0.683
OLFM4,1.6990999999999999e-12,olfactomedin 4,++,+-++,Filtered_Out,0.0061998284405612,0.9953826667236435,+,0.0124,0.04493066573233237,3.34,1,-0.025,0.683
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,++,++++,--,0.007692830627973505,0.7529486146523591,+,0.0154,0.001734011,4.14,1,-0.025,0.683
MYRF,1.6847e-8,myelin regulatory factor,--,++--,-+,0.2880552928716167,0.00875251003047967,-,0.0175,0.006945037,4.71,1,-0.025,0.683
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,++,--++,++,0.010249402880102627,0.9468212870202836,+,0.0205,0.002809492,5.51,1,-0.025,0.683
ZNF536,1.6243e-6,zinc finger protein 536,--,++--,-+,0.6903968579481294,0.01142449144638363,-,0.0228,0.012601684717793113,6.15,1,-0.025,0.683
FAM120AOS,2.4238e-6,family with sequence similarity 120A opposite strand,++,++++,NA,0.011840694607641093,0.9905795290268589,+,0.0237,0.036167336,6.37,1,-0.025,0.683
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.013048339635264167,0.960580658012801,+,0.0261,0.02156003,7.02,1,-0.025,0.683
MANEA,1.8836e-6,mannosidase endo-alpha,--,++--,-+,0.06492513170383457,0.013252891168588922,-,0.0265,0.001451269,7.13,1,-0.025,0.683
CDH13,1.5938e-11,cadherin 13,-+,---+,+-,0.8107570508910066,0.015868235787062316,-,0.0317,0.00394136,8.54,1,-0.025,0.683
TMEM42,4.8697e-7,transmembrane protein 42,++,++++,NA,0.016307733078380644,0.870479568767587,+,0.0326,0.024523215,8.77,1,-0.025,0.683
OR2B2,2.7942e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,0.03360960610736883,9.04,1,-0.025,0.683
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,-+--,NA,0.9937024435819413,0.017568512772131648,-,0.0351,0.04883371533595394,9.45,1,-0.025,0.683
POGZ,3.1579e-7,pogo transposable element derived with ZNF domain,--,-+--,-+,0.9791619169484584,0.018074577713878232,-,0.0361,0.032245022,9.72,1,-0.025,0.683
C3orf84,2.5336e-7,chromosome 3 open reading frame 84,++,NA,NA,0.018326179304374246,0.9816738206956257,+,0.0367,0.03665235860874849,9.86,1,-0.025,0.683
CAMKK2,1.8833e-6,calcium/calmodulin dependent protein kinase kinase 2,++,+-++,+-,0.018588560423766297,0.5742538132237184,+,0.0372,0.013698221,10,1,-0.025,0.683
SOX5,3.7918e-9,SRY-box transcription factor 5,+-,----,Filtered_Out,0.9829805145687306,0.020566462183618173,-,0.0411,0.077126588,11.1,1,-0.025,0.683
RABEPK,1.5581e-6,Rab9 effector protein with kelch motifs,++,++++,--,0.02064809869793085,0.40633662370896517,+,0.0413,0.0728911488986559,11.1,1,-0.025,0.683
CTTNBP2,1.261e-7,cortactin binding protein 2,--,-+--,++,0.45770617468535335,0.02195553707849062,-,0.0439,0.040096248,11.8,1,-0.025,0.683
TRMT61A,3.682e-9,tRNA methyltransferase 61A,++,++++,NA,0.02296201434464772,0.8407526507929819,+,0.0459,0.022484129,12.4,1,-0.025,0.683
PRSS16,6.4148e-9,serine protease 16,++,Missing_P_Values,Filtered_Out,0.024250990784289425,0.9757490092157105,+,0.0485,0.04850198156857885,13,1,-0.025,0.683
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,+-++,--,0.10048965507835801,0.02554679771174002,-,0.0511,4.72472e-4,13.7,1,-0.025,0.683
RFTN2,5.4058e-7,raftlin family member 2,--,++--,-+,0.7381614074539042,0.02559828112651837,-,0.0512,0.03639445856167979,13.8,1,-0.025,0.683
HARS,2.1021e-7,NA,++,-+++,+-,0.025950660757992725,0.7169590493721478,+,0.0519,0.0069317185113633535,14,1,-0.025,0.683
