gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.753e-8,catenin delta 1,++,--++,--,0.9252800587835357,0.001257998710952442,-,0.00252,0.001687079,0.677,0.677,0.00398,0.948
PSORS1C1,1.7445e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,0.00563886258224023,1.52,1,0.00398,0.948
HIST1H2BO,9.6505e-8,NA,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,0.00607244484267725,1.63,1,0.00398,0.948
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,--,----,++,0.8680051644827707,0.0054467595215553916,-,0.0109,0.007577574,2.93,1,0.00398,0.948
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,--,--++,+-,0.005485588909283898,0.49354247732584133,+,0.011,4.9052e-5,2.95,1,0.00398,0.948
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.008285605915206742,0.656020986374228,+,0.0166,0.00799503,4.46,1,0.00398,0.948
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,+++-,++,0.008449421837141424,0.9449968127784918,+,0.0169,0.011802341,4.55,1,0.00398,0.948
CKB,1.7557e-8,creatine kinase B,--,+-++,--,0.012050133218603416,0.22305910744245772,+,0.0241,1.82118e-5,6.48,1,0.00398,0.948
SEMA6D,4.0971e-9,semaphorin 6D,+-,-+--,+-,0.2849682031998613,0.01600424798051103,-,0.032,0.00427009,8.61,1,0.00398,0.948
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.804138447145782,0.016107711897438114,-,0.0322,0.020928616,8.67,1,0.00398,0.948
VRK2,9.9697e-9,VRK serine/threonine kinase 2,--,++--,-+,0.39371226363614326,0.01743090592238017,-,0.0349,0.026045818596663467,9.38,1,0.00398,0.948
TMEM106B,1.2176e-12,transmembrane protein 106B,++,++--,-+,0.2710776683779505,0.017630344673257397,-,0.0353,2.16239e-4,9.49,1,0.00398,0.948
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,-+,+-++,NA,0.01949261783693349,0.7781318435061082,+,0.039,0.00242952,10.5,1,0.00398,0.948
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,-+--,NA,0.99012214978673585,0.020395819393232664,-,0.0408,0.06263463126664132,11,1,0.00398,0.948
MANEA,1.8836e-6,mannosidase endo-alpha,++,++--,-+,0.395107898406232,0.020680095610278143,-,0.0414,0.002767965,11.1,1,0.00398,0.948
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,--++,--,0.25505171185153014,0.020722452323942972,-,0.0414,4.72472e-4,11.1,1,0.00398,0.948
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",--,++++,++,0.02277855746405906,0.8880968975476231,+,0.0456,0.014556544,12.3,1,0.00398,0.948
ASXL3,2.0589e-6,ASXL transcriptional regulator 3,++,--++,+-,0.026566505520211576,0.7363663564930757,+,0.0531,0.008650411,14.3,1,0.00398,0.948
HIST1H2BF,3.5839e-8,NA,-+,++++,Filtered_Out,0.026751958375395155,0.9562334772893053,+,0.0535,0.01036763,14.4,1,0.00398,0.948
CDH9,9.6964e-7,cadherin 9,++,+-++,+-,0.02703602594989211,0.9526670973262791,+,0.0541,0.028128689,14.5,1,0.00398,0.948
ZNF184,3.3378e-8,zinc finger protein 184,+-,--++,+-,0.7524615480011787,0.02934042319520952,-,0.0587,0.016954203,15.8,1,0.00398,0.948
LST1,5.4242e-9,leukocyte specific transcript 1,--,++++,--,0.029527341780534344,0.1896660792164268,+,0.0591,0.012599797,15.9,1,0.00398,0.948
HIST1H1B,9.9717e-14,NA,+-,NA,Filtered_Out,0.9692760398083585,0.030723960191641534,-,0.0614,0.06144792038328307,16.5,1,0.00398,0.948
CCS,2.3011e-6,copper chaperone for superoxide dismutase,--,-+++,++,0.031142087461105125,0.7288953175204056,+,0.0623,0.014563279,16.8,1,0.00398,0.948
ZKSCAN3,1.1575e-8,zinc finger with KRAB and SCAN domains 3,++,++++,Filtered_Out,0.035289836885851814,0.9513123430284319,+,0.0706,0.064166739,19,1,0.00398,0.948
ZNF165,1.9547e-12,zinc finger protein 165,-+,-+++,Filtered_Out,0.03679856113682366,0.8719662504909645,+,0.0736,0.058737725,19.8,1,0.00398,0.948
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9961367002606606,0.03720203750836858,-,0.0744,0.078482399,20,1,0.00398,0.948
KDM3A,1.7641e-9,lysine demethylase 3A,+-,++--,NA,0.8881580591982674,0.037340343387075176,-,0.0747,0.005746965,20.1,1,0.00398,0.948
SGCZ,9.7578e-10,sarcoglycan zeta,++,--++,Filtered_Out,0.03771402228338814,0.9174404515373856,+,0.0754,0.003670155,20.3,1,0.00398,0.948
SF3B1,1.7831e-8,splicing factor 3b subunit 1,++,+++-,++,0.03804143060345634,0.9553900145810854,+,0.0761,0.034139419,20.5,1,0.00398,0.948
ZCCHC7,4.1883e-12,zinc finger CCHC-type containing 7,+-,+-++,++,0.03877116457578125,0.9918319682084153,+,0.0775,0.138466948,20.9,1,0.00398,0.948
EXT1,1.2011e-6,exostosin glycosyltransferase 1,++,--++,++,0.03974187169739916,0.21257162447536584,+,0.0795,0.015325053,21.4,1,0.00398,0.948
BAG5,9.1836e-7,BAG cochaperone 5,+-,-+--,--,0.9871130594656135,0.04119506573908574,-,0.0824,0.018796161,22.2,1,0.00398,0.948
BTN1A1,7.3965e-9,butyrophilin subfamily 1 member A1,++,NA,Filtered_Out,0.04151480470214189,0.9584851952978581,+,0.083,0.08302960940428378,22.3,1,0.00398,0.948
MYRF,1.6847e-8,myelin regulatory factor,+-,-+--,-+,0.2995718415146988,0.04309746489911613,-,0.0862,0.006945037,23.2,1,0.00398,0.948
EPHB2,1.0438e-6,EPH receptor B2,--,---+,+-,0.9916496189174607,0.04382520918619043,-,0.0877,0.039052528,23.6,1,0.00398,0.948
ZNF322,3.7203e-7,zinc finger protein 322,++,-+-+,++,0.04442961772673197,0.978591702104242,+,0.0889,0.051821349,23.9,1,0.00398,0.948
HIST1H3I,6.378e-10,NA,++,NA,Filtered_Out,0.04609924190470913,0.9539007580952908,+,0.0922,0.09219848380941827,24.8,1,0.00398,0.948
