gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,--,----,+-,0.9770786950158235,8.212365306188387e-4,-,0.00164,0.00653533,0.442,0.442,-0.00553,0.928
PSORS1C1,1.7445e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,0.00563886258224023,1.52,1,-0.00553,0.928
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9943431793864993,0.0028568673845117552,-,0.00571,0.001158159,1.54,1,-0.00553,0.928
HIST1H2BO,9.6505e-8,NA,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,0.00607244484267725,1.63,1,-0.00553,0.928
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,-+++,+-,0.006802876205161253,0.828192602710039,+,0.0136,0.001631929,3.66,1,-0.00553,0.928
NRD1,2.6643e-8,NA,NA,NA,NA,0.9922888122866595,0.007037866414905284,-,0.0141,0.015242509,3.79,1,-0.00553,0.928
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,++++,Filtered_Out,0.007647666012040493,0.6598742793066489,+,0.0153,0.00799503,4.11,1,-0.00553,0.928
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.9990151699338994,0.008087389811420157,-,0.0162,0.06263463126664132,4.35,1,-0.00553,0.928
METTL9,1.7424e-10,methyltransferase like 9,++,+++-,++,0.0082223052214073,0.9985840053688572,+,0.0164,0.023636704,4.42,1,-0.00553,0.928
CELF2,7.5152e-8,CUGBP Elav-like family member 2,++,----,--,0.579463472705223,0.008837503176886885,-,0.0177,0.016642978,4.75,1,-0.00553,0.928
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,--,-+++,-+,0.009553392925051906,0.7757060558313906,+,0.0191,0.001004996,5.14,1,-0.00553,0.928
DCDC1,7.4612e-9,doublecortin domain containing 1,++,+++-,Filtered_Out,0.009744157715058203,0.9931149742423586,+,0.0195,0.026863188,5.24,1,-0.00553,0.928
DCDC5,2.4868e-9,NA,NA,NA,NA,0.009744157715058203,0.9931149742423586,+,0.0195,0.026863188,5.24,1,-0.00553,0.928
MYRF,1.6847e-8,myelin regulatory factor,+-,-+--,--,0.9907403763607414,0.010738978349788045,-,0.0215,0.025741386,5.78,1,-0.00553,0.928
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.9776817312085465,0.01163987040888322,-,0.0233,0.020928616,6.26,1,-0.00553,0.928
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,-+,--++,++,0.013235631644771102,0.7954185303544521,+,0.0265,0.026963109,7.12,1,-0.00553,0.928
CDH13,1.5938e-11,cadherin 13,++,--+-,+-,0.4608385378743109,0.01370249576486696,-,0.0274,0.00394136,7.37,1,-0.00553,0.928
