gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9934189394983604,0.001000646100820659,-,0.002,0.001158159,0.538,0.538,9.78e-4,0.987
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,-+,--++,++,0.0011568226732127872,0.8244605434754491,+,0.00231,0.00588712,0.622,0.622,9.78e-4,0.987
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,--,----,+-,0.9770711516124498,0.0014213016558985373,-,0.00284,0.00653533,0.765,0.765,9.78e-4,0.987
MANEA,1.8836e-6,mannosidase endo-alpha,++,++--,--,0.0024906299219188957,0.04411039768173933,+,0.00498,7.71466e-4,1.34,1,9.78e-4,0.987
CELF2,7.5152e-8,CUGBP Elav-like family member 2,++,----,--,0.5802910327636237,0.0027833065396407485,-,0.00557,0.016642978,1.5,1,9.78e-4,0.987
PSORS1C1,1.7445e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,0.00563886258224023,1.52,1,9.78e-4,0.987
YLPM1,3.52e-10,YLP motif containing 1,+-,---+,NA,0.9861580638312575,0.0028218255524853804,-,0.00564,0.001039362,1.52,1,9.78e-4,0.987
HIST1H2BO,9.6505e-8,NA,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,0.00607244484267725,1.63,1,9.78e-4,0.987
PAX6,1.6677e-9,paired box 6,++,----,--,0.930798047097533,0.0036203922738690174,-,0.00724,0.002175936,1.95,1,9.78e-4,0.987
KDM3A,1.7641e-9,lysine demethylase 3A,+-,+---,NA,0.8716016801867932,0.005948015288857893,-,0.0119,0.00748713,3.2,1,9.78e-4,0.987
SOX5,3.7918e-9,SRY-box transcription factor 5,++,----,Filtered_Out,0.8696823173390609,0.00624615717009608,-,0.0125,0.040092956,3.36,1,9.78e-4,0.987
RTN1,1.7109e-8,reticulon 1,++,++++,++,0.006571630008758245,0.9993247962333425,+,0.0131,0.063983887,3.54,1,9.78e-4,0.987
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,--,+-++,-+,0.006799696408487948,0.7976642497477404,+,0.0136,0.001004996,3.66,1,9.78e-4,0.987
BAZ2B,1.3215e-7,bromodomain adjacent to zinc finger domain 2B,--,----,--,0.9949762990348021,0.007007291396699278,-,0.014,0.013601592,3.77,1,9.78e-4,0.987
NRD1,2.6643e-8,NA,NA,NA,NA,0.9922888122866595,0.007037866414905284,-,0.0141,0.015242509,3.79,1,9.78e-4,0.987
C1QTNF7,2.6076e-6,C1q and TNF related 7,--,--+-,Filtered_Out,0.9876603975462941,0.007355836993361064,-,0.0147,0.035265047,3.96,1,9.78e-4,0.987
MARK3,2.6768e-7,microtubule affinity regulating kinase 3,+-,----,--,0.9838084053001661,0.007512250474897154,-,0.015,0.034033973,4.04,1,9.78e-4,0.987
BEND4,1.2982e-7,BEN domain containing 4,++,-+--,NA,0.7507486787925555,0.007658006510965799,-,0.0153,0.003839183,4.12,1,9.78e-4,0.987
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.007986944599506898,0.6215114939374484,+,0.016,0.001833984,4.3,1,9.78e-4,0.987
POGZ,3.1579e-7,pogo transposable element derived with ZNF domain,++,----,-+,0.8409625847739495,0.008232490325204404,-,0.0165,0.023772846,4.43,1,9.78e-4,0.987
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,+++-,+-,0.009377515047545994,0.8120185287261241,+,0.0188,0.001631929,5.05,1,9.78e-4,0.987
TCF4,4.5521e-16,transcription factor 4,++,+---,--,0.6785801536590788,0.010011162256152962,-,0.02,0.002236053,5.39,1,9.78e-4,0.987
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.9986512761003798,0.010755721339007367,-,0.0215,0.06263463126664132,5.79,1,9.78e-4,0.987
LTBP3,8.1362e-7,latent transforming growth factor beta binding protein 3,--,--++,--,0.8215022184001058,0.010985433041652852,-,0.022,0.027174725,5.91,1,9.78e-4,0.987
METTL9,1.7424e-10,methyltransferase like 9,++,++--,++,0.01105644694099595,0.9932587752704429,+,0.0221,0.023636704,5.95,1,9.78e-4,0.987
ASXL3,2.0589e-6,ASXL transcriptional regulator 3,++,--+-,+-,0.37774747794410557,0.01219083814000687,-,0.0244,0.002256491,6.56,1,9.78e-4,0.987
CDH13,1.5938e-11,cadherin 13,++,-+--,+-,0.4846489282408656,0.012314655785474315,-,0.0246,0.00394136,6.63,1,9.78e-4,0.987
VPS41,1.9375e-6,VPS41 subunit of HOPS complex,++,++--,++,0.013464962342065517,0.9232912426806226,+,0.0269,0.009832116,7.24,1,9.78e-4,0.987
EXT1,1.2011e-6,exostosin glycosyltransferase 1,++,--+-,+-,0.5878789208825745,0.014912507863872874,-,0.0298,0.010276231,8.02,1,9.78e-4,0.987
MGAT4C,1.2237e-6,MGAT4 family member C,++,+---,--,0.6298336351085817,0.015047891571952465,-,0.0301,0.008288091,8.1,1,9.78e-4,0.987
USP3,2.4852e-6,ubiquitin specific peptidase 3,+-,+---,--,0.8256579047670007,0.015410544684620962,-,0.0308,0.020889981,8.29,1,9.78e-4,0.987
C11orf31,5.1084e-7,NA,NA,NA,NA,0.8602291464288229,0.01578266499095689,-,0.0316,0.023441292,8.49,1,9.78e-4,0.987
CKB,1.7557e-8,creatine kinase B,--,+-++,++,0.01738673920300787,0.8496788985081939,+,0.0348,0.004117161,9.35,1,9.78e-4,0.987
MYRF,1.6847e-8,myelin regulatory factor,+-,++-+,--,0.4546016636680681,0.01831621285599892,-,0.0366,0.015939285,9.85,1,9.78e-4,0.987
ZNF638,1.8282e-7,zinc finger protein 638,+-,+---,NA,0.9283422312006951,0.019449449942197203,-,0.0389,0.011210283,10.5,1,9.78e-4,0.987
TOP1,1.6562e-6,DNA topoisomerase I,--,----,--,0.9060904868160442,0.019508697819532912,-,0.039,0.047453352,10.5,1,9.78e-4,0.987
TRAF3,3.1737e-7,TNF receptor associated factor 3,-+,--+-,--,0.9957919588838231,0.020271711216150613,-,0.0405,0.011555865,10.9,1,9.78e-4,0.987
ZHX3,2.344e-7,zinc fingers and homeoboxes 3,++,----,--,0.9589909764179216,0.021688835081927482,-,0.0434,0.017922949,11.7,1,9.78e-4,0.987
PCNP,2.3346e-7,PEST proteolytic signal containing nuclear protein,++,++++,--,0.021724189195294223,0.3071016271762392,+,0.0434,0.023876479,11.7,1,9.78e-4,0.987
HSPA1A,8.134e-8,heat shock protein family A (Hsp70) member 1A,--,----,-+,0.9904823933368856,0.023588216854398523,-,0.0472,0.052021844,12.7,1,9.78e-4,0.987
VRK2,9.9697e-9,VRK serine/threonine kinase 2,--,++-+,-+,0.42348397011854966,0.0241276478522436,-,0.0483,0.026045818596663467,13,1,9.78e-4,0.987
CRB1,2.4995e-7,crumbs cell polarity complex component 1,++,+---,+-,0.6854481632547612,0.024277934440565,-,0.0486,9.89607e-4,13.1,1,9.78e-4,0.987
PLA2R1,3.9805e-7,phospholipase A2 receptor 1,-+,--+-,Filtered_Out,0.9256975698352522,0.025823495910416334,-,0.0516,0.001639741,13.9,1,9.78e-4,0.987
PCDH9,3.5314e-10,protocadherin 9,++,++--,++,0.02911876399047025,0.39191348578670593,+,0.0582,0.03246236,15.7,1,9.78e-4,0.987
KIAA1143,4.9967e-7,KIAA1143,+-,+++-,-+,0.02968637425544471,0.5461637015934016,+,0.0594,0.007041498,16,1,9.78e-4,0.987
HIST1H1B,9.9717e-14,NA,+-,NA,Filtered_Out,0.9692760398083585,0.030723960191641534,-,0.0614,0.06144792038328307,16.5,1,9.78e-4,0.987
LST1,5.4242e-9,leukocyte specific transcript 1,--,-+++,-+,0.17342862939590348,0.03473936645120835,-,0.0695,0.003058614,18.7,1,9.78e-4,0.987
