gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.753e-8,catenin delta 1,--,--++,--,0.9501786460262763,0.0010349027737926457,-,0.00207,0.001687079,0.557,0.557,-0.0548,0.37
CKB,1.7557e-8,creatine kinase B,++,+-++,--,0.0010976337341529671,0.43280340155198194,+,0.0022,1.82118e-5,0.591,0.591,-0.0548,0.37
ARHGEF25,1.902e-6,Rho guanine nucleotide exchange factor 25,++,+-++,NA,0.0021060502814279694,0.9798038729908091,+,0.00421,0.00242952,1.13,1,-0.0548,0.37
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9998924559166017,0.0030333125756477042,-,0.00607,0.016736706372868716,1.63,1,-0.0548,0.37
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,+-++,Filtered_Out,0.003109702618827521,0.967745920008295,+,0.00622,0.00799503,1.67,1,-0.0548,0.37
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,++,--++,+-,0.0038336268269279256,0.6155586644691694,+,0.00767,4.9052e-5,2.06,1,-0.0548,0.37
TMEM106B,1.2176e-12,transmembrane protein 106B,--,++--,-+,0.565829470174124,0.005326867969976419,-,0.0107,2.16239e-4,2.87,1,-0.0548,0.37
ZNF638,1.8282e-7,zinc finger protein 638,--,+++-,NA,0.8693291290081013,0.006189150686539849,-,0.0124,0.001959458,3.33,1,-0.0548,0.37
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.8247437414887087,0.006900330835589191,-,0.0138,0.020928616,3.71,1,-0.0548,0.37
HLA-B,4.3342e-11,"major histocompatibility complex, class I, B",++,++++,++,0.0073237716296046616,0.9968339656107823,+,0.0146,0.014556544,3.94,1,-0.0548,0.37
MANEA,1.8836e-6,mannosidase endo-alpha,--,++--,-+,0.6626275042979616,0.00734444431496247,-,0.0147,0.002767965,3.95,1,-0.0548,0.37
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,++,++++,--,0.007493032367471356,0.7543401024257126,+,0.015,0.001734011,4.03,1,-0.0548,0.37
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,+-,----,++,0.8397975288541271,0.007855823151838349,-,0.0157,0.007577574,4.23,1,-0.0548,0.37
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,+++-,++,0.009992937611419046,0.8807451553674696,+,0.02,0.011802341,5.38,1,-0.0548,0.37
ZNF536,1.6243e-6,zinc finger protein 536,--,-+--,-+,0.8934340848972888,0.010996345511889263,-,0.022,0.012601684717793113,5.92,1,-0.0548,0.37
SEMA6D,4.0971e-9,semaphorin 6D,-+,-+--,+-,0.3069675279956859,0.013531940317918944,-,0.0271,0.00427009,7.28,1,-0.0548,0.37
OLFM4,1.6990999999999999e-12,olfactomedin 4,++,+-++,Filtered_Out,0.013653707773329846,0.9955560818027246,+,0.0273,0.04493066573233237,7.35,1,-0.0548,0.37
MYRF,1.6847e-8,myelin regulatory factor,--,-+--,-+,0.3179884734381954,0.016335774048236437,-,0.0327,0.006945037,8.79,1,-0.0548,0.37
C16orf45,1.8617e-9,NA,++,--++,-+,0.016417586634821596,0.929254287270473,+,0.0328,9.58753e-4,8.83,1,-0.0548,0.37
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,-+--,NA,0.9910074548930697,0.016482914347990353,-,0.033,0.04883371533595394,8.87,1,-0.0548,0.37
OR2B2,2.7942e-12,olfactory receptor family 2 subfamily B member 2,++,NA,Filtered_Out,0.016804803053684415,0.9831951969463155,+,0.0336,0.03360960610736883,9.04,1,-0.0548,0.37
C3orf84,2.5336e-7,chromosome 3 open reading frame 84,++,NA,NA,0.018326179304374246,0.9816738206956257,+,0.0367,0.03665235860874849,9.86,1,-0.0548,0.37
CCS,2.3011e-6,copper chaperone for superoxide dismutase,+-,-+++,++,0.018327934110671157,0.9754664889759859,+,0.0367,0.014563279,9.86,1,-0.0548,0.37
ZMAT2,2.4426e-6,zinc finger matrin-type 2,++,++++,--,0.019481194399670353,0.6839135285784632,+,0.039,0.024694837,10.5,1,-0.0548,0.37
CAMKK2,1.8833e-6,calcium/calmodulin dependent protein kinase kinase 2,++,--++,+-,0.02231572067121799,0.550616466177403,+,0.0446,0.013698221,12,1,-0.0548,0.37
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,--++,--,0.10755892752343604,0.0238759607068424,-,0.0478,4.72472e-4,12.8,1,-0.0548,0.37
RFTN2,5.4058e-7,raftlin family member 2,--,++--,-+,0.7687724047740605,0.02411761242515983,-,0.0482,0.03639445856167979,13,1,-0.0548,0.37
PRSS16,6.4148e-9,serine protease 16,++,Missing_P_Values,Filtered_Out,0.024250990784289425,0.9757490092157105,+,0.0485,0.04850198156857885,13,1,-0.0548,0.37
HARS,2.1021e-7,NA,++,++++,+-,0.02439680022512659,0.7395992982029986,+,0.0488,0.0069317185113633535,13.1,1,-0.0548,0.37
ZNF165,1.9547e-12,zinc finger protein 165,-+,-+++,Filtered_Out,0.024523934273421914,0.8916906613590122,+,0.049,0.058737725,13.2,1,-0.0548,0.37
ZNF184,3.3378e-8,zinc finger protein 184,++,--++,+-,0.7894485700784549,0.027726844662387774,-,0.0555,0.016954203,14.9,1,-0.0548,0.37
ACVR1B,5.281e-7,activin A receptor type 1B,++,---+,++,0.029539875192968287,0.973206084360274,+,0.0591,0.016928378850805628,15.9,1,-0.0548,0.37
LST1,5.4242e-9,leukocyte specific transcript 1,--,++++,--,0.029872422678465096,0.1743588569015458,+,0.0597,0.012599797,16.1,1,-0.0548,0.37
SERPING1,2.4511e-6,serpin family G member 1,++,--++,--,0.03466984332543289,0.5295529943625074,+,0.0693,0.004084704530120423,18.7,1,-0.0548,0.37
