gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CTNND1,7.753e-8,catenin delta 1,++,--+-,--,0.9574711644398954,0.0010113520654847288,-,0.00202,0.001687079,0.544,0.544,0.0583,0.341
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,--,----,++,0.8700776282126506,0.0012681760359270857,-,0.00254,0.00653533,0.682,0.682,0.0583,0.341
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.9958796292849348,0.0024334587537250354,-,0.00487,0.001158159,1.31,1,0.0583,0.341
PSORS1C1,1.7445e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,0.00563886258224023,1.52,1,0.0583,0.341
HIST1H2BO,9.6505e-8,NA,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,0.00607244484267725,1.63,1,0.0583,0.341
RSRC1,2.5991e-14,arginine and serine rich coiled-coil 1,+-,+++-,++,0.0041466919805117144,0.9458393651216755,+,0.00829,0.011802341,2.23,1,0.0583,0.341
ITPR3,1.551e-6,"inositol 1,4,5-trisphosphate receptor type 3",+-,++++,Filtered_Out,0.007647666012040493,0.6598742793066489,+,0.0153,0.00799503,4.11,1,0.0583,0.341
HLA-DQB1,2.3306e-7,"major histocompatibility complex, class II, DQ beta 1",--,----,NA,0.9990151699338994,0.008087389811420157,-,0.0162,0.06263463126664132,4.35,1,0.0583,0.341
DCDC1,7.4612e-9,doublecortin domain containing 1,++,+++-,Filtered_Out,0.009744157715058203,0.9931149742423586,+,0.0195,0.026863188,5.24,1,0.0583,0.341
DCDC5,2.4868e-9,NA,NA,NA,NA,0.009744157715058203,0.9931149742423586,+,0.0195,0.026863188,5.24,1,0.0583,0.341
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,--,-+++,+-,0.009809932047550849,0.5662271008889336,+,0.0196,0.001004996,5.28,1,0.0583,0.341
SLC4A9,2.6577e-6,solute carrier family 4 member 9,--,-+--,Filtered_Out,0.9776817312085465,0.01163987040888322,-,0.0233,0.020928616,6.26,1,0.0583,0.341
