gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
CKB,1.7557e-8,creatine kinase B,++,+-++,++,7.336823187186607e-6,0.9938441319621114,+,1.47e-5,1.82118e-5,0.00395,0.00395,-0.0457,0.455
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,++,+-++,-+,3.086827020375584e-5,0.9039708348813112,+,6.17e-5,4.9052e-5,0.0166,0.0166,-0.0457,0.455
ZNF638,1.8282e-7,zinc finger protein 638,--,++--,NA,0.9225876659480294,3.068112734328592e-4,-,6.14e-4,0.001959458,0.165,0.165,-0.0457,0.455
SAMD5,1.2098e-8,sterile alpha motif domain containing 5,--,----,--,0.999610807288999,3.677994101838326e-4,-,7.36e-4,0.001158159,0.198,0.198,-0.0457,0.455
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,++,--++,++,4.0577151199273193e-4,0.9542550275843498,+,8.12e-4,0.002809492,0.218,0.218,-0.0457,0.455
SCYL1,6.1112e-8,SCY1 like pseudokinase 1,++,++++,+-,9.137848315314507e-4,0.9209628878347114,+,0.00183,0.001734011,0.492,0.492,-0.0457,0.455
C16orf45,1.8617e-9,NA,++,--++,--,0.0015461512122841325,0.3533282540062464,+,0.00309,9.58753e-4,0.832,0.832,-0.0457,0.455
BAZ2B,1.3215e-7,bromodomain adjacent to zinc finger domain 2B,--,-+--,--,0.9988576195732968,0.0015733607317180741,-,0.00315,0.013601592,0.846,0.846,-0.0457,0.455
MANEA,1.8836e-6,mannosidase endo-alpha,--,++--,--,0.07964031822893591,0.001767370075450481,-,0.00353,0.001451269,0.951,0.951,-0.0457,0.455
TMEM106B,1.2176e-12,transmembrane protein 106B,--,++--,--,0.3171163169455044,0.002007898481533349,-,0.00402,2.16239e-4,1.08,1,-0.0457,0.455
HARS,2.1021e-7,NA,++,-+++,++,0.0020414988450742555,0.9985083269315684,+,0.00408,0.0069317185113633535,1.1,1,-0.0457,0.455
HS6ST3,1.6614e-8,heparan sulfate 6-O-sulfotransferase 3,++,+-++,+-,0.002055472712956117,0.8832614305380981,+,0.00411,0.001631929,1.11,1,-0.0457,0.455
BAD,1.3523e-6,BCL2 associated agonist of cell death,-+,++++,--,0.0026571791126363473,0.3745241104303975,+,0.00531,0.001132037,1.43,1,-0.0457,0.455
