gene_symbol,Howard_pvalue,gene_name,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p
UBE2M,8.888e-7,ubiquitin conjugating enzyme E2 M,--,+-++,-+,1.3153114069789863e-5,0.38439833390636075,+,2.63e-5,4.9052e-5,0.00708,0.00708,0.016,0.794
CKB,1.7557e-8,creatine kinase B,--,+-++,+-,1.9771757278966038e-4,0.6897723082020066,+,3.95e-4,1.82118e-5,0.106,0.106,0.016,0.794
ANKS1B,1.5029e-6,ankyrin repeat and sterile alpha motif domain containing 1B,++,--+-,++,0.0016436003073968218,0.718682845345429,+,0.00329,0.008015543,0.884,0.884,0.016,0.794
SPRY2,8.2557e-7,sprouty RTK signaling antagonist 2,--,----,--,0.9945820520282722,0.0018074105534148805,-,0.00361,0.00653533,0.972,0.972,0.016,0.794
ZC3H7B,2.9108e-8,zinc finger CCCH-type containing 7B,-+,--++,+-,0.002710470428547335,0.4980722827168732,+,0.00542,0.0024309930000000002,1.46,1,0.016,0.794
ZNF638,1.8282e-7,zinc finger protein 638,+-,++--,NA,0.8490911905020867,0.0027686174549081755,-,0.00554,0.001959458,1.49,1,0.016,0.794
PSORS1C1,1.7445e-8,psoriasis susceptibility 1 candidate 1,--,Missing_P_Values,Filtered_Out,0.9971805687088799,0.002819431291120115,-,0.00564,0.00563886258224023,1.52,1,0.016,0.794
HIST1H2BO,9.6505e-8,NA,--,NA,Filtered_Out,0.9969637775786614,0.003036222421338625,-,0.00607,0.00607244484267725,1.63,1,0.016,0.794
BAD,1.3523e-6,BCL2 associated agonist of cell death,--,++++,--,0.003317098372243416,0.1840787246955172,+,0.00663,0.001132037,1.78,1,0.016,0.794
YLPM1,3.52e-10,YLP motif containing 1,+-,----,NA,0.990838001462875,0.0033793151255686995,-,0.00676,0.001039362,1.82,1,0.016,0.794
KLC1,2.4595e-10,kinesin light chain 1,--,++-+,++,0.003413652239211685,0.9403737631286713,+,0.00683,0.003812079,1.84,1,0.016,0.794
RTN1,1.7109e-8,reticulon 1,++,+-++,-+,0.004323589422499073,0.5294515160013561,+,0.00865,0.006195693,2.33,1,0.016,0.794
